Blog	travel	master	nature	crowd	grandma	article	west	scott	research	general	account	false	tape	riding	willing	artist	production	daniel	dogs	aunt	tony	shared	foot	inspired	bless	toward	grant	obviously	similar	links	university	key	tuesday	speaking	miles	seat	label	hardcore	extended	download	eggs	easter	yard	reached	success	dressed	excellent	football	cards	cheap	jazz	direction	focus	adventure	hill	king	solo	flight	meaning	include	chose	joe	jon	term	rare	blogs	kinda	spoke	machine	twitter	heading	legs	copy	babies	data	records	breath	laughed	act	ah	dawn	states	html	relationship	basically	sea	community	santa	results	jesus	clearly	email	appeared	official	families	minor	hall	em	en	et	ep	pray	classic	recorded	till	ben	kick	candy	daddy	skin	texas	vinyl	language	according	nose	students	titled	search	throughout	create	bill	y	per	island	honestly	bus	path	ma	ms	program	presentation	design	scared	usual	member	series	showed	doors	camp	planned	previous	sigh	se	um	un	uk	race	packed	bike	interest	japan	created	board	appear	january	album	cars	british	national	asleep	ya	jeff	based	gonna	whose	meal	featured	mini	regular	explain	sugar	website	kim	character	bass	keith	cheese	nearly	blessed	bible	members	para	recording	extremely	common	fans	purpose	gifts	actual	limited	request	hospital	london	report	trust	cook	unfortunately	heat	heather	thursday	v	mommy	problems	river	van	holy	release	result	east	creative	slightly	offer	sale	social	blues	continued	paul	literally	archive	reality	familiar	youtube	mentioned	career	bay	suppose	wanna	slept	mark	bags	doctor	bread	build	lines	unless	player	metal	characters	precious	wood	review	kill	fat	trouble	various	whom	edge	york	chicken	english	goodness	singer	dave	split	decision	originally	internet	formed	former	november	uploaded	festival	thanksgiving	web	provide	easily	musical	prayer	nor	thankful	ring	vocals	america	discovered	stars	tracks	horse	grey	popular	wave	michael	allowed	hits	lose	library	north	likely	fantastic	tells	ears	cousin	seven	journey	performance	among	consider	images	restaurant	despite	que	justin	colors	conference	posts	guitar	lisa	christian	weight	musicians	peace	museum	clip	thus	perhaps	press	incredible	japanese	kelly	fairly	possibly	unique	bloody	vacation	period	image	content	pics	author	grace	moon	challenge	led	les	shall	animal	allow	david	study	strength	dc	da	du	dr	background	blast	hell	indeed	entirely	okay	concert	media	speed	towards	famous	faith	sharing	halloween	hadn	ha	recommend	shit	digital	effort	pizza	paid	seconds	videos	material	stood	airport	delicious	paint	mama	le	lo	lp	studio	greatest	bands	na	mso	performed	brothers	included	worse	tea	mission	reasons	pt	san	steve	issues	cross	example	price	bright	screen	joined	gorgeous	gold	available	readers	format	lord	magic	score	highly	war	becoming	grateful	certainly	presented	lol	cookies	damn	positive	noise	perfectly	demo	peter	attempt	modern	folks	managed	file	film	chris	simply	mid	interview	jack	weren	tom	plenty	expected	grab	released	chinese	remix	session	sex	ear	piano	mike	student	debut	ate	falling	punk	pages	via	plane	bowl	europe	doubt	involved	haha	market	james	flowers	albums	performances	reach	plays	artists	force	grade	somewhat	lyrics	grown	milk	french	california	everyday	particular	gotten	youth	mountain	entry	google	favourite	dan	sadly	text	practice	blessings	j	paris	christ	difference	bathroom	hearts	wide	energy	suddenly	font	notes	closer	el	er
My Thoughts Exactly	2	4	12	14	0	3	15	1	16	14	14	5	4	4	6	0	3	2	7	1	6	5	28	4	1	1	1	13	12	2	39	10	6	14	31	17	0	1	1	0	3	6	6	14	2	13	13	34	5	12	1	17	14	1	28	10	0	9	12	6	6	6	4	18	4	8	2	11	10	1	19	12	16	2	0	2	8	5	18	20	6	10	1	8	4	6	7	0	5	3	43	26	6	7	6	7	11	3	12	0	0	1	6	1	6	3	13	0	1	12	6	1	10	1	12	40	1	12	2	0	10	1	3	3	5	73	2	2	1	2	6	10	8	10	11	7	3	15	1	12	18	5	2	9	4	26	8	13	8	22	0	3	11	9	7	7	5	47	7	7	3	0	8	3	16	3	2	2	5	8	2	8	0	12	2	0	14	15	3	0	15	0	1	12	13	5	8	0	8	8	2	12	134	3	6	3	6	21	0	9	0	0	4	14	8	1	5	28	12	5	56	28	1	9	3	26	15	0	0	6	12	0	13	4	0	58	0	6	14	7	6	4	6	12	11	2	5	4	2	5	2	9	7	12	21	13	4	12	9	25	5	0	3	4	11	2	28	2	28	6	0	12	0	3	9	16	3	0	23	1	6	0	14	12	5	9	5	10	6	14	5	14	2	4	11	28	3	5	9	9	1	7	25	3	0	17	5	3	26	0	2	0	6	11	0	0	4	8	0	5	13	1	24	103	7	0	1	11	35	16	10	32	2	16	8	4	0	5	4	4	6	15	0	7	4	12	7	12	4	0	1	1	4	8	3	31	34	12	34	2	5	11	30	18	6	4	0	29	7	5	15	4	12	5	5	6	1	3	23	10	2	2	1	5	0	0	0	1	0	1	0	0	1	3	17	39	3	7	0	1	1	6	23	4	3	9	15	6	5	9	16	23	1	11	1	3	12	9	16	4	37	2	0	1	5	5	7	8	0	3	20	7	2	49	3	18	10	3	17	16	9	9	1	11	13	5	1	4	2	1	14	16	0	8	17	0	1	5	0	2	14	2	3	6	22	11	0	4	13	1	1	0	13	4	1	7	7	23	1	5	41	4	1	3	18	0	5	3	7	11	26	0	6	26	2	0	1	2	6	4	7	0	15	5	16	0	16	5	0	18
Wings on the floor.	0	0	0	5	0	0	0	0	0	0	0	12	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	2	1	0	1	0	1	0	2	1	0	0	1	0	1	0	1	0	2	0	1	0	0	1	2	0	0	0	0	0	1	0	3	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	12	0	2	4	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	4	0	0	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	8	0	1	2	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	1	0	1	1	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	1	2	20	0	0	0	0	0	4	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	2	0	1	2	0	0	0	0	0	0	4	0	6	5	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	68	0	0	1	3	0	1	1	16	0	0	0	1	0	0	2	2	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	2	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	3	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	4	0	2	0	0	2	32	2	1	2	0
Grandma's Grumblings	1	0	0	0	67	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	2	1	3	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	12	0	0	2	5	0	2	3	1	1	2	0	0	0	5	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	3	0	0	0	9	0	3	1	0	1	1	0	1	0	13	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	1	4	3	1	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	1	0	0	7	0	0	0	0	1	0	15	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	3	4	0	0	0	0	5	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	5	0	1	2	0	0	3	0	1	1	1	0	0	1	2	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	2	3	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	0	0	0	0	1	0	0
Plethora	5	5	5	2	0	75	1	4	26	6	2	0	8	1	2	4	1	1	9	6	2	1	6	6	0	0	2	11	25	1	8	3	6	7	1	3	1	0	2	1	8	10	7	5	13	5	5	43	8	10	0	1	9	0	6	54	17	2	10	12	70	10	1	6	0	6	0	1	6	6	2	4	0	4	0	5	3	1	4	9	2	14	146	3	38	3	8	8	1	1	1	0	3	3	0	4	2	3	2	1	2	0	30	4	0	3	10	9	3	5	11	0	1	22	8	13	5	10	16	5	9	8	4	7	6	14	2	1	0	5	0	2	5	4	7	11	9	4	2	2	6	18	0	8	1	53	6	4	1	7	2	18	11	2	3	74	18	9	18	1	14	6	13	3	1	15	13	7	14	4	3	14	0	14	10	20	37	20	1	0	8	0	3	4	5	28	1	0	12	7	1	10	2	20	5	3	38	10	0	8	4	3	9	4	15	3	11	0	4	7	1	5	7	10	9	5	9	0	1	13	4	8	7	9	1	1	5	2	3	1	6	20	11	13	6	10	5	7	0	8	3	2	10	12	0	2	1	17	126	2	17	19	7	0	7	6	4	6	7	2	0	1	16	4	4	11	12	3	0	2	3	10	9	10	9	5	9	1	42	7	23	9	18	11	1	8	8	23	3	4	9	6	2	6	3	2	0	31	3	0	4	5	8	3	44	0	3	10	12	1	0	5	6	4	13	3	3	1	1	13	1	0	4	2	9	6	4	0	1	2	3	7	0	0	8	4	5	17	1	3	1	0	5	13	5	7	14	7	0	8	5	7	9	24	0	5	10	2	1	13	0	0	15	42	5	2	11	3	3	5	5	3	68	0	0	0	9	25	38	0	0	4	7	12	7	5	0	13	0	3	2	4	1	13	16	1	5	0	0	4	5	2	0	2	5	2	10	7	4	2	40	1	0	3	3	5	0	3	0	1	1	1	35	2	2	7	6	0	24	1	9	7	4	3	3	1	28	13	0	1	32	3	7	10	8	3	3	9	14	1	1	0	38	7	9	12	0	15	10	0	17	0	3	7	11	2	14	2	38	6	7	15	13	0	19	20	0	2	3	4	1	3	29	6	1	0	6	5	3	7	8	2	0	3	1	0	2	2	1	4
The Woolfpack Six	0	1	0	0	2	0	2	4	0	0	0	0	0	3	1	0	1	2	2	3	0	1	1	0	1	0	6	0	0	2	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	0	0	5	7	0	0	0	1	0	0	5	0	0	0	0	1	1	0	0	1	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	8	0	3	0	0	0	1	2	1	0	0	0	0	0	5	0	0	0	1	1	5	9	0	14	0	0	0	0	0	0	0	4	0	0	0	0	3	2	5	0	0	1	1	1	0	1	1	3	0	0	1	16	1	1	0	0	0	0	4	0	1	2	0	0	0	1	0	1	1	0	0	0	0	0	44	0	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	4	0	2	0	0	1	0	4	0	3	1	0	0	0	1	0	1	0	3	1	2	2	0	14	0	1	1	0	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0	1	12	2	0	0	3	1	0	14	0	0	5	2	0	0	0	0	0	1	1	1	0	1	0	4	0	0	0	3	3	0	0	2	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	4	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	2	14	0	1	1	0	1	0	4	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	2	2	1	0	0	0	0	1	0	0	3	0	0	0	1	6	3	1	0	0	0	1	1	3	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	1	1	2	0	0	0	0	1	0	0	1	2	1	1	0	1	0	0	0	0	0	0	1	4	0	3	1	0	0	0	0	2	0	0	12	0	0	1	0	0	0	1	0	6	1	0	0	0	0	0	0	1	1	0	4	0	2	1	0	2	0	2	0	0	0	4	0	0
Viváine Rebouças	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WHY	0	2	4	9	0	5	1	0	0	8	2	1	11	0	1	0	0	0	0	0	0	5	11	2	3	1	0	8	1	0	2	4	4	6	10	6	3	0	0	0	2	0	1	7	0	13	0	1	0	1	0	1	7	3	0	2	0	2	4	0	4	0	1	2	6	1	1	8	1	0	1	10	0	10	1	1	21	6	8	0	0	0	1	6	0	7	0	0	1	0	6	4	0	0	7	4	0	0	0	1	0	11	1	0	59	0	8	1	6	13	0	0	2	1	15	1	0	1	2	0	1	2	0	1	1	2	15	0	4	2	3	3	7	7	0	4	1	10	5	2	2	8	0	0	3	1	5	1	2	1	0	3	3	0	0	0	10	4	1	11	0	0	0	0	3	4	0	0	1	6	0	0	0	3	2	0	1	4	3	0	0	2	0	10	0	0	3	1	0	1	2	7	5	2	5	1	5	13	0	0	1	7	2	1	0	5	1	0	0	0	10	5	0	18	0	2	0	10	0	6	6	0	3	3	4	0	0	3	1	2	1	2	2	6	4	1	4	0	2	1	0	6	8	2	2	1	7	2	1	4	2	1	0	4	7	0	1	0	0	1	0	0	0	2	3	2	1	3	2	0	5	0	0	8	7	1	1	27	1	4	0	5	2	15	2	0	0	4	17	10	3	7	1	0	2	2	3	5	9	0	0	4	5	1	1	0	0	5	0	8	0	1	2	1	4	0	0	0	2	0	2	29	1	0	2	0	0	1	8	3	0	2	0	5	3	1	1	3	6	0	0	0	0	10	5	38	4	5	0	1	1	0	13	2	3	4	1	4	10	0	5	0	1	4	2	11	0	2	4	1	4	4	1	0	3	0	0	4	0	2	9	0	2	3	7	3	3	2	4	0	0	8	5	0	3	11	6	1	0	5	8	2	0	8	5	1	1	4	3	4	1	0	0	0	31	1	3	3	0	1	3	0	0	13	2	0	0	7	5	1	0	6	1	1	4	5	1	1	0	7	5	11	0	1	0	0	2	7	0	7	0	5	6	2	2	7	10	2	1	8	0	0	24	4	0	3	7	2	0	10	5	0	0	7	1	7	9	1	0	1	1	0	0	2	0	0	15	0	0	3	11	3	9	9	38	2	2	6	0	0
Undivided Heart	0	0	0	1	2	0	0	1	0	2	1	0	0	0	1	1	0	0	2	2	0	5	0	3	6	3	0	1	3	0	0	3	0	4	2	1	0	0	2	0	1	0	2	0	1	1	1	4	1	0	1	4	7	2	0	4	0	0	0	2	2	0	0	0	0	4	2	1	2	1	0	1	0	1	0	0	0	4	0	0	0	0	0	1	0	0	4	1	0	21	3	6	0	1	5	0	0	0	0	0	0	14	0	0	0	13	1	1	5	0	3	0	0	0	3	9	1	1	2	5	0	0	1	1	0	3	1	2	0	6	0	1	0	1	1	1	3	0	16	1	1	1	2	0	1	0	0	1	0	0	0	2	0	0	1	2	1	0	1	0	0	5	0	1	5	1	0	0	0	1	0	1	0	1	0	0	1	3	17	9	1	0	0	0	0	5	1	3	2	0	0	2	0	0	4	0	2	0	0	1	0	1	0	0	0	3	0	1	0	4	0	0	1	0	0	0	1	1	0	9	1	0	0	0	0	2	1	0	6	0	6	3	0	3	0	2	0	1	7	0	0	2	3	1	2	3	0	1	0	0	2	3	2	0	2	0	0	0	0	0	0	0	2	4	1	2	1	6	0	6	0	0	2	2	0	0	1	0	0	1	0	0	1	1	0	2	0	3	0	1	0	2	1	0	1	4	0	1	0	0	0	0	8	2	0	0	4	1	0	2	0	0	1	4	0	4	0	0	0	1	1	0	2	0	0	1	0	1	4	0	0	2	0	0	0	0	1	0	4	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	16	2	0	1	0	0	0	0	0	0	0	2	0	2	5	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	1	4	2	0	1	1	3	2	0	0	0	1	1	0	0	0	2	0	30	0	2	0	1	3	2	2	1	0	7	0	3	0	2	0	1	3	0	1	1	1	0	3	0	0	0	0	0	0	1	1	3	1	0	0	0	0	0	0	2	6	0	1	0	0	2	1	0	0	0	3	1	0	1	1	0	1	0	3	2	0	0	2	0	1	2	4	0	1	0	1	2	7	0	0	0	0	0	1	3	0	1	0	1	11	1	2	8	0	0	1	0	2	1	0	0
Music Liberation	0	0	3	0	0	0	1	2	0	0	0	0	0	1	0	0	1	5	0	0	0	1	1	4	0	0	0	2	5	1	1	0	0	0	1	0	1	4	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	3	2	1	0	2	0	0	5	0	1	1	2	0	0	1	0	0	6	0	0	2	0	0	0	0	0	1	0	2	0	0	1	2	1	0	0	0	0	0	0	0	0	33	0	2	1	0	1	1	0	0	1	0	0	0	0	0	0	8	0	8	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19	0	0	0	2	1	1	1	0	1	35	0	4	1	0	0	0	5	1	1	0	0	6	1	0	1	0	0	0	7	0	0	0	0	0	2	0	3	0	2	0	0	0	0	1	1	0	19	0	0	0	1	0	0	0	0	0	0	0	0	6	10	0	6	0	1	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	5	0	0	0	2	1	0	0	1	0	0	2	0	0	0	10	0	0	0	0	0	0	1	3	0	2	0	0	0	2	8	0	0	0	0	23	1	0	0	6	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	2	0	0	0	0	0	28	0	0	0	2	1	0	0	1	2	2	0	0	0	2	0	1	5	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	2	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	1	1	2	0	0	0	0	1	0	0	1	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	0	0	0	0	2	1	3	0	0	0	0	0	0	0	3	0	4	0	0	0	0	2	4	1	1	0	0	0	1	1	0	0	0	1	0	6	1	0	0	1	0	0	10	0	1	0	0	2	1	0	0	19	0	1	5	0	1	0	0	1	1	0	0	0	9	0	1	0	1	1	14	0	0	1	5	0	0	1	0	0	2	0	3	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	3	0	0	0
The Southams	2	1	0	2	10	1	1	0	4	1	1	3	0	2	4	0	0	2	0	7	0	0	2	0	2	0	223	6	2	1	3	0	5	0	1	3	0	0	0	0	0	9	6	2	2	3	0	2	1	1	8	3	3	5	11	1	0	20	0	2	1	0	0	0	0	1	0	1	2	0	3	2	1	2	0	0	6	4	1	3	2	6	0	0	10	0	1	0	4	2	1	6	0	5	4	1	3	0	0	0	0	0	3	0	1	0	4	4	11	0	0	0	2	0	4	1	0	1	11	0	0	0	1	1	6	20	0	0	0	1	0	0	3	3	1	11	2	1	8	1	2	0	0	1	3	0	4	10	2	3	0	0	3	0	6	1	7	0	1	11	5	0	0	0	2	2	0	1	1	2	0	2	0	0	0	2	2	9	4	0	1	0	1	15	1	3	3	1	5	1	0	29	0	1	1	3	10	3	0	11	5	5	2	14	0	0	0	0	3	1	4	0	3	1	0	6	0	13	0	1	0	0	4	0	14	3	0	4	0	1	21	1	3	7	1	2	1	0	1	1	0	8	4	1	4	1	2	5	1	1	7	0	0	0	2	0	3	0	0	0	0	0	1	0	0	2	1	1	0	0	2	0	4	3	1	0	5	1	0	2	0	12	0	3	1	2	0	4	3	0	17	1	7	0	0	0	1	32	1	0	2	3	1	3	0	1	1	5	0	0	17	0	1	0	0	5	0	0	0	2	0	1	11	0	2	0	10	1	0	0	1	0	1	2	0	0	2	0	0	1	1	0	5	7	1	1	1	1	26	0	4	3	10	5	2	2	16	2	16	9	0	0	0	5	5	11	3	1	2	17	9	7	3	0	3	0	0	5	0	3	0	3	5	0	11	0	5	3	0	13	11	8	1	6	17	12	2	0	6	8	0	0	0	1	0	0	2	1	1	8	0	0	0	9	0	4	2	1	0	5	2	2	1	5	0	0	0	0	0	0	1	0	0	1	2	5	2	0	0	2	4	1	1	10	0	0	17	2	0	0	5	12	0	13	0	1	6	3	0	2	0	0	2	0	2	1	0	6	1	5	1	4	12	6	1	16	0	1	0	1	0	1	2	4	1	0	0	28	1	4	9	0	6	1	1	0	0	1	5	2
Life Is Buzzin With Half A Dozen!	0	2	1	0	9	0	0	0	0	0	0	0	0	4	0	0	0	51	1	6	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	6	0	0	2	0	0	0	0	0	0	0	1	7	0	1	0	0	0	0	0	0	1	2	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	2	2	0	0	0	0	0	0	0	1	0	0	2	1	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	6	0	7	1	0	0	1	0	2	1	4	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	2	1	1	1	1	0	0	0	1	1	4	0	2	0	0	2	0	0	0	0	0	1	0	1	2	0	0	1	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	1	0	0	47	0	0	0	0	0	0	0	3	0	0	0	25	0	0	0	1	1	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	1	7	3	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	1	1	0	0	0	3	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	1	0	0
Lucky S.Michaels	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
